Unnamed: 0,Name,Team & Contract,ID,Height,Weight,foot,Acceleration,Sprint speed,Stamina,Strength,Interceptions,Vision,Composure,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Positioning,Weak foot,Skill moves,Attacking work rate,Defensive work rate,Unnamed: 23
,E. Ben Seghir CAM LM CM,Bayer 04 Leverkusen 2025 ~ 2030,272781,"178cm 5'10""",72kg 159lbs,Right,76,77,69,61,23,75,75,28,31,6,10,10,3,4,,,
,J. Vagnoman RB RM,VfB Stuttgart 2022 ~ 2028,242602,"190cm 6'3""",90kg 198lbs,Right,83,90,78,84,70,68,68,72,66,12,13,10,4,3,,,
,L. Assignon RB RM,VfB Stuttgart 2025 ~ 2029,260574,"181cm 5'11""",77kg 170lbs,Right,73,79,78,70,72,60,68,75,73,11,13,8,3,3,,,
,Y. Sugawara RB RM,"SV Werder Bremen Jun 30, 2026 On loan",242916,"178cm 5'10""",68kg 150lbs,Right,75,75,75,67,73,70,70,74,72,8,12,8,3,3,,,
,F. Agu LB LM,SV Werder Bremen 2020 ~ 2027,243350,"180cm 5'11""",67kg 148lbs,Right,88,93,78,54,68,67,66,74,71,11,15,12,3,3,,,
,M. Backhaus GK,SV Werder Bremen 2022 ~ 2027,268428,"194cm 6'4""",82kg 181lbs,Right,19,28,25,56,13,41,32,10,11,76,69,75,4,1,,,
,D. da Costa CB RB RM,1. FSV Mainz 05 2022 ~ 2027,202429,"187cm 6'2""",87kg 192lbs,Right,75,84,75,78,73,68,65,76,77,15,15,6,3,3,,,
,P. Mwene LB LM RM,1. FSV Mainz 05 2023 ~ 2030,216275,"172cm 5'8""",68kg 150lbs,Right,83,73,87,66,72,67,70,70,67,12,9,9,4,3,,,
,B. Hollerbach ST CAM LM,1. FSV Mainz 05 2025 ~ 2029,258715,"181cm 5'11""",82kg 181lbs,Right,87,84,92,71,25,68,70,24,22,10,14,13,4,4,,,
,M. Jenz CB,VfL Wolfsburg 2023 ~ 2027,241494,"190cm 6'3""",86kg 190lbs,Right,66,59,69,84,71,38,66,80,75,11,12,11,3,2,,,
,Vinicius Souza CDM CM,VfL Wolfsburg 2025 ~ 2030,262929,"187cm 6'2""",80kg 176lbs,Right,64,65,77,84,76,65,70,76,75,14,14,13,3,2,,,
,S. Kumbedi RB RM,VfL Wolfsburg 2025 ~ 2029,268312,"175cm 5'9""",63kg 139lbs,Right,79,81,75,50,69,63,69,72,72,9,6,6,3,3,,,
,M. Zetterer GK,Eintracht Frankfurt 2025 ~ 2029,227370,"187cm 6'2""",79kg 174lbs,Right,39,44,38,70,21,52,43,16,12,74,71,74,5,1,,,
,J. Bahoya LM LW CAM,Eintracht Frankfurt 2024 ~ 2029,269728,"180cm 5'11""",75kg 165lbs,Right,91,97,66,60,36,73,70,52,56,15,11,12,3,4,,,
,C. Trimmel RB RM,1. FC Union Berlin 2014 ~ 2028,193254,"189cm 6'2""",82kg 181lbs,Right,55,76,73,82,75,67,70,74,69,16,8,8,3,3,,,
,D. Köhn LB LM,1. FC Union Berlin 2025 ~ 2029,250941,"180cm 5'11""",73kg 161lbs,Left,86,88,71,72,69,65,61,72,71,9,14,9,3,4,,,
,Bernardo LB CB,TSG 1899 Hoffenheim 2025 ~ 2027,232805,"186cm 6'1""",76kg 168lbs,Left,67,71,82,73,72,58,69,78,81,15,12,14,3,3,,,
,K. Machida CB,TSG 1899 Hoffenheim 2025 ~ 2029,232873,"190cm 6'3""",80kg 176lbs,Left,71,81,73,85,74,60,62,75,71,7,7,14,3,2,,,
,A. Hajdari CB LB,TSG 1899 Hoffenheim 2025 ~ 2029,259074,"189cm 6'2""",80kg 176lbs,Left,62,58,71,82,76,33,58,76,74,12,9,11,3,2,,,
,A. Prass LB LM CM,TSG 1899 Hoffenheim 2024 ~ 2028,263041,"180cm 5'11""",72kg 159lbs,Left,76,73,79,73,74,75,74,69,67,7,15,8,2,3,,,
,M. Gregoritsch ST,"FC Augsburg Jun 30, 2026 On loan",199439,"193cm 6'4""",91kg 201lbs,Left,36,37,71,86,33,67,73,40,38,10,6,16,3,3,,,
,K. Schlotterbeck CB,FC Augsburg 2024 ~ 2027,244068,"189cm 6'2""",86kg 190lbs,Left,56,69,54,84,73,58,68,81,75,13,14,10,3,2,,,
,H. Massengo CDM CM,FC Augsburg 2025 ~ 2030,246594,"175cm 5'9""",70kg 154lbs,Right,65,70,77,72,75,68,72,74,72,8,14,9,3,3,,,
,K. Jakić CDM CM CB,FC Augsburg 2024 ~ 2028,257889,"181cm 5'11""",75kg 165lbs,Right,73,66,82,76,73,66,69,76,74,10,10,9,3,2,,,
,D. Ramaj GK,"1. FC Heidenheim 1846 Jun 30, 2026 On loan",248478,"188cm 6'2""",82kg 181lbs,Right,28,29,38,64,15,67,65,15,15,76,71,73,5,1,,,
,E. Bitshiabu CB,RB Leipzig 2023 ~ 2029,263193,"196cm 6'5""",95kg 209lbs,Left,55,85,56,92,71,62,61,76,69,10,12,13,3,2,,,
,B. Gruda CAM RM CM,"RB Leipzig Jun 30, 2026 On loan",272612,"178cm 5'10""",70kg 154lbs,Left,78,74,66,62,33,74,65,30,21,12,10,6,3,4,,,
,C. Harder ST CAM LW,RB Leipzig 2025 ~ 2030,277689,"185cm 6'1""",71kg 157lbs,Left,74,75,63,81,25,70,73,22,20,13,8,8,3,3,,,
,M. Bakker LB LM RM,Atalanta 2023 ~ 2027,239368,"185cm 6'1""",85kg 187lbs,Left,76,79,81,81,70,66,70,72,68,14,7,8,2,2,,,
,Josep Martínez GK,Inter 2024 ~ 2029,243311,"191cm 6'3""",78kg 172lbs,Right,24,30,42,58,11,52,42,13,15,75,71,74,3,1,,,
,A. Diouf CM CAM,Inter 2025 ~ 2030,268534,"187cm 6'2""",81kg 179lbs,Left,75,78,77,77,69,74,76,70,65,10,15,9,3,3,,,
,E. Holm RB RM,"Juventus Jun 30, 2026 On loan",246656,"192cm 6'4""",87kg 192lbs,Right,80,85,78,82,69,63,64,71,69,7,12,5,3,3,,,
,F. Miretti CM CAM LM,Juventus 2021 ~ 2028,268802,"180cm 5'11""",72kg 159lbs,Right,75,74,76,69,69,76,74,71,69,11,9,14,4,3,,,
,Patric CB CDM,Lazio 2015 ~ 2027,206098,"184cm 6'0""",72kg 159lbs,Right,65,61,68,64,78,66,72,77,74,8,14,9,3,2,,,
,T. Bašić CM CDM,Lazio 2021 ~ 2028,245275,"190cm 6'3""",82kg 181lbs,Right,56,45,69,79,77,78,72,76,72,13,10,11,3,3,,,
,K. De Winter CB,AC Milan 2025 ~ 2030,265774,"191cm 6'3""",78kg 172lbs,Right,68,72,76,70,72,45,65,80,76,12,8,10,3,2,,,
,Juan Jesus CB,Napoli 2021 ~ 2029,200752,"185cm 6'1""",83kg 183lbs,Left,63,53,66,72,77,34,73,78,76,12,11,8,3,2,,,
,B. Gilmour CM CDM,Napoli 2024 ~ 2029,245992,"170cm 5'7""",66kg 146lbs,Right,69,52,66,49,72,75,77,74,69,9,7,13,3,3,,,
,E. Delprato CB RB,Parma 2022 ~ 2027,252442,"183cm 6'0""",76kg 168lbs,Right,77,84,85,71,74,58,61,78,74,7,12,12,3,2,,,
,H. Nicolussi Caviglia CDM CM,"Parma Jun 30, 2026 On loan",253162,"184cm 6'0""",76kg 168lbs,Right,68,63,81,70,70,79,73,71,67,8,10,10,3,3,,,
,E. Valeri LB LM,Parma 2024 ~ 2028,258714,"179cm 5'10""",78kg 172lbs,Left,76,73,78,58,70,66,69,74,71,8,10,12,2,3,,,
,I. Ilić CDM CM CB,Torino 2023 ~ 2027,258683,"186cm 6'1""",77kg 170lbs,Left,69,66,65,66,70,77,72,72,69,10,10,11,3,3,,,
,F. Israel GK,Torino 2025 ~ 2028,270141,"190cm 6'3""",82kg 181lbs,Right,30,32,23,80,11,45,44,12,11,79,71,74,3,1,,,
,C. Casadei CM CDM,Torino 2025 ~ 2029,273883,"192cm 6'4""",77kg 170lbs,Right,63,69,76,69,69,77,73,71,69,10,7,7,3,2,,,
,J. Karlström CDM CM,Udinese 2024 ~ 2030,214658,"185cm 6'1""",81kg 179lbs,Right,66,62,83,74,72,76,75,73,70,11,8,11,3,2,,,
,N. Zaniolo ST RW RM CAM,"Udinese Jun 30, 2026 On loan",238067,"190cm 6'3""",79kg 174lbs,Left,72,76,65,80,44,76,74,50,46,8,11,13,2,4,,,
,F. Bernardeschi RM ST RW,Bologna 2025 ~ 2027,212404,"184cm 6'0""",79kg 174lbs,Left,73,72,74,69,53,75,77,48,52,14,15,13,4,4,,,
,N. Moro CDM CM CB,Bologna 2023 ~ 2027,244270,"184cm 6'0""",78kg 172lbs,Right,66,66,74,70,70,74,77,73,72,9,9,13,4,3,,,
,T. Dallinga ST,Bologna 2024 ~ 2028,252021,"190cm 6'3""",89kg 196lbs,Right,69,73,64,65,29,74,79,24,23,11,6,10,4,2,,,
,J. Rowe LM RM LW,Bologna 2025 ~ 2029,266500,"174cm 5'9""",71kg 157lbs,Right,85,84,64,64,42,69,72,26,24,8,13,7,4,3,,,
,A. Gallo LB LM,Lecce 2019 ~ 2028,244717,"183cm 6'0""",73kg 161lbs,Left,77,79,80,62,74,65,61,69,71,5,12,8,2,2,,,
,I. Smolčić RB CB CM,Como 2025 ~ 2029,77163,"181cm 5'11""",78kg 172lbs,Right,69,68,72,79,75,70,75,78,78,6,10,13,5,2,,,
,Alberto Moreno LB CM,Como 2024 ~ 2029,205566,"171cm 5'7""",65kg 143lbs,Left,74,75,75,54,71,69,68,73,73,10,14,10,2,3,,,
,M. Kempf CB CDM,Como 2024 ~ 2027,210719,"186cm 6'1""",87kg 192lbs,Left,69,74,80,80,75,58,72,77,74,14,14,7,4,2,,,
,S. Esposito ST CAM,"Cagliari Jun 30, 2026 On loan",247888,"183cm 6'0""",76kg 168lbs,Right,76,74,71,61,33,74,71,40,35,15,12,10,5,4,,,
,M. Palestra RB RM,"Cagliari Jun 30, 2026 On loan",278339,"186cm 6'1""",80kg 176lbs,Right,82,89,79,70,67,69,72,68,66,7,9,8,4,3,,,
,D. Rugani CB,"Fiorentina Jun 30, 2026 On loan",211320,"190cm 6'3""",86kg 190lbs,Right,36,32,50,80,76,50,71,76,75,5,10,5,3,2,,,
,L. Ranieri CB,Fiorentina 2017 ~ 2028,240777,"187cm 6'2""",76kg 168lbs,Left,62,73,68,59,77,42,65,77,76,14,8,8,3,2,,,
,R. Piccoli ST,Fiorentina 2025 ~ 2030,248385,"189cm 6'2""",94kg 207lbs,Right,66,79,77,82,25,55,68,38,34,14,13,10,3,2,,,
,F. Parisi LB RB RM CM,Fiorentina 2023 ~ 2028,258976,"178cm 5'10""",72kg 159lbs,Left,76,75,66,65,72,56,72,74,73,11,10,13,3,2,,,
,P. Comuzzo CB,Fiorentina 2023 ~ 2028,278340,"185cm 6'1""",75kg 165lbs,Right,61,61,69,66,79,44,72,77,74,14,8,7,2,2,,,
,R. Malinovskyi CM CAM CDM,Genoa 2024 ~ 2027,231969,"181cm 5'11""",79kg 174lbs,Left,66,64,66,74,66,76,74,69,50,6,6,15,4,4,,,
,J. Bijlow GK,Genoa 2026 ~ 2028,232229,"188cm 6'2""",76kg 168lbs,Right,41,43,25,65,10,55,53,12,14,77,72,73,2,1,,,
,L. Østigård CB,Genoa 2026 ~ 2030,238516,"182cm 6'0""",80kg 176lbs,Right,63,58,68,84,75,34,58,74,72,13,10,8,3,2,,,
,J. Vásquez CB,Genoa 2022 ~ 2028,244349,"185cm 6'1""",72kg 159lbs,Left,59,63,79,67,76,47,69,76,76,9,12,12,2,2,,,
,Vitinha ST,Genoa 2024 ~ 2028,263829,"178cm 5'10""",74kg 163lbs,Right,78,73,73,70,36,65,74,29,22,5,8,9,3,3,,,
,Raúl Albiol CB,Pisa 2025 ~ 2029,157481,"190cm 6'3""",82kg 181lbs,Right,31,30,34,77,75,64,74,78,76,8,6,9,3,2,,,
,J. Cuadrado RM RB RW,Pisa 2025 ~ 2028,193082,"179cm 5'10""",72kg 159lbs,Right,78,76,54,54,71,74,73,78,81,5,5,6,3,5,,,
,R. Durosinmi ST,Pisa 2026 ~ 2030,273128,"192cm 6'4""",85kg 187lbs,Right,74,78,65,84,29,66,70,20,17,7,12,5,3,3,,,
,J. Vardy ST,Cremonese 2025 ~ 2029,208830,"179cm 5'10""",74kg 163lbs,Right,74,69,61,63,49,70,78,51,53,15,14,15,4,3,,,
,A. Sanabria ST,Cremonese 2025 ~ 2028,219932,"180cm 5'11""",70kg 154lbs,Right,78,72,60,62,21,69,78,20,15,8,14,14,4,3,,,
,S. Luperto CB,Cremonese 2026 ~ 2028,220534,"190cm 6'3""",83kg 183lbs,Left,63,62,72,74,76,53,74,77,74,12,6,11,3,2,,,
,F. Baschirotto CB,Cremonese 2025 ~ 2028,268573,"187cm 6'2""",93kg 205lbs,Right,66,72,82,91,72,63,69,74,72,14,11,6,3,2,,,
,A. Pinamonti ST,Sassuolo 2023 ~ 2027,235842,"188cm 6'2""",72kg 159lbs,Right,70,69,78,68,16,45,62,30,24,14,10,7,3,3,,,
,I. Koné CM CDM,Sassuolo 2026 ~ 2029,264207,"188cm 6'2""",76kg 168lbs,Right,74,81,79,70,69,74,76,69,66,7,7,9,4,3,,,
,Marc Bernal CDM CM,FC Barcelona 2023 ~ 2029,74463,"193cm 6'4""",84kg 185lbs,Left,66,70,65,75,72,72,71,75,73,12,8,14,3,2,,,
,C. Bakambu ST LW LM,Real Betis Balompié 2024 ~ 2029,198951,"182cm 6'0""",73kg 161lbs,Right,76,81,65,70,28,67,69,34,29,6,13,14,3,3,,,
,N. Deossa CDM CM CAM,Real Betis Balompié 2025 ~ 2030,267430,"185cm 6'1""",71kg 157lbs,Left,77,77,76,78,73,72,72,75,72,9,8,8,3,3,,,
,Carreira RB RM LM,RC Celta 2019 ~ 2029,252866,"170cm 5'7""",65kg 143lbs,Right,78,74,76,63,71,76,77,71,67,14,9,9,3,3,,,
,W. Swedberg LW CM CAM LM,RC Celta 2022 ~ 2029,263227,"187cm 6'2""",78kg 172lbs,Right,75,73,78,56,66,81,77,69,45,7,14,8,4,3,,,
,Ferran Jutglà ST RW LM CAM,RC Celta 2025 ~ 2029,265800,"175cm 5'9""",75kg 165lbs,Right,79,73,74,79,21,65,77,29,25,6,8,8,4,3,,,
,Hugo Álvarez LM RM LW,RC Celta 2022 ~ 2028,266331,"176cm 5'9""",72kg 159lbs,Right,70,68,62,57,69,73,69,65,58,10,9,8,3,3,,,
,Pere Milla LM ST CAM LW,RCD Espanyol 2023 ~ 2027,225926,"184cm 6'0""",72kg 159lbs,Left,75,75,76,65,59,74,74,58,42,10,10,14,3,3,,,
,Calero CB,RCD Espanyol 2019 ~ 2028,240289,"183cm 6'0""",71kg 157lbs,Right,59,62,58,74,76,64,64,76,76,11,13,14,4,2,,,
,Pol Lozano CDM CM,RCD Espanyol 2017 ~ 2027,244407,"177cm 5'10""",62kg 137lbs,Right,62,65,81,63,74,74,67,74,73,8,7,11,3,3,,,
,Omar El Hilali RB CB RM,RCD Espanyol 2023 ~ 2027,261654,"183cm 6'0""",75kg 165lbs,Right,83,82,82,73,72,65,65,72,73,10,13,13,3,3,,,
,Jan Virgili LW LM RM,RCD Mallorca 2025 ~ 2030,80915,"168cm 5'6""",66kg 146lbs,Right,86,81,65,44,36,71,62,39,30,12,8,9,3,4,,,
,Omar Mascarell CDM CM CB,RCD Mallorca 2023 ~ 2029,208620,"181cm 5'11""",76kg 168lbs,Right,55,41,76,69,74,73,68,76,69,6,7,10,5,3,,,
,B. Santamaria CM CDM,Valencia CF 2025 ~ 2027,219792,"183cm 6'0""",81kg 179lbs,Right,48,45,82,73,73,73,74,75,69,7,7,7,2,3,,,
,A. Danjuma LW ST LM,Valencia CF 2025 ~ 2028,236276,"178cm 5'10""",74kg 163lbs,Right,84,84,65,69,32,72,74,52,47,15,8,8,4,4,,,
,F. Ugrinić CM CDM CAM,Valencia CF 2025 ~ 2029,236657,"184cm 6'0""",88kg 194lbs,Right,76,78,87,87,71,74,71,71,70,8,10,8,4,3,,,
,Unai Núñez CB RB,"Valencia CF Jun 30, 2026 On loan",240900,"186cm 6'1""",81kg 179lbs,Right,59,71,68,79,75,40,62,74,75,9,9,6,2,2,,,
,L. Beltrán ST CAM LM,"Valencia CF Jun 30, 2026 On loan",246258,"174cm 5'9""",75kg 165lbs,Right,76,67,71,74,41,76,77,46,44,6,14,14,3,3,,,
,César Tárrega CB,Valencia CF 2021 ~ 2030,265726,"194cm 6'4""",78kg 172lbs,Right,60,65,77,84,74,53,61,74,75,14,11,7,3,2,,,
,Jonny RB LB CB CM,Deportivo Alavés 2025 ~ 2027,210455,"170cm 5'7""",70kg 154lbs,Right,76,70,71,65,76,70,80,74,77,7,10,10,4,3,,,
,Rafa Mir ST LW CAM,"Elche CF Jun 30, 2026 On loan",231628,"191cm 6'3""",86kg 190lbs,Right,78,88,69,84,50,67,68,46,40,12,11,10,3,3,,,
,D. Affengruber CB,Elche CF 2024 ~ 2027,261264,"185cm 6'1""",79kg 174lbs,Right,74,72,89,82,76,56,72,75,74,8,15,11,3,2,,,
,Raúl Moro LW LM RM,CA Osasuna 2026 ~ 2031,258139,"169cm 5'7""",67kg 148lbs,Right,85,85,56,47,23,73,68,26,22,7,14,6,3,3,,,
,Abel Bretones LB LM,CA Osasuna 2024 ~ 2029,271145,"188cm 6'2""",78kg 172lbs,Left,75,79,81,79,73,66,65,75,71,7,11,10,3,3,,,
,Herrando CB,CA Osasuna 2018 ~ 2030,272433,"190cm 6'3""",78kg 172lbs,Left,53,45,68,73,76,50,63,76,76,10,12,6,3,2,,,
,I. Balliu RB LB RM,Rayo Vallecano 2021 ~ 2027,203581,"172cm 5'8""",68kg 150lbs,Right,74,80,84,62,71,65,74,72,70,12,9,9,3,3,,,
,Luiz Felipe CB,Rayo Vallecano 2025 ~ 2028,236355,"187cm 6'2""",80kg 176lbs,Right,70,75,53,80,75,58,64,75,74,14,8,10,4,3,,,
,Pedro Díaz CM CDM CAM,Rayo Vallecano 2024 ~ 2028,236492,"180cm 5'11""",75kg 165lbs,Right,68,64,81,71,69,76,71,73,70,7,14,13,4,3,,,
,I. Akhomach RW RM,"Rayo Vallecano Jun 30, 2026 On loan",265578,"175cm 5'9""",70kg 154lbs,Left,78,78,66,54,26,72,72,40,35,6,12,6,4,4,,,
,N. Mendy CB LB,Rayo Vallecano 2026 ~ 2030,276633,"187cm 6'2""",83kg 183lbs,Left,78,83,65,88,73,54,66,73,74,10,15,14,3,2,,,
,A. Sánchez ST CAM,Sevilla FC 2025 ~ 2028,184941,"169cm 5'7""",62kg 137lbs,Right,75,66,59,58,52,78,78,44,35,10,10,12,4,3,,,
,N. Gudelj CB CDM CM,Sevilla FC 2019 ~ 2028,193198,"187cm 6'2""",79kg 174lbs,Right,44,48,77,85,74,72,76,75,75,8,11,14,2,3,,,
,D. Sow CM CDM CAM,Sevilla FC 2023 ~ 2028,229752,"183cm 6'0""",76kg 168lbs,Right,75,81,85,75,77,73,80,75,74,6,12,7,4,3,,,
,B. Mendy CDM CM,"Sevilla FC Jun 30, 2026 On loan",244114,"191cm 6'3""",82kg 181lbs,Right,68,73,83,83,75,65,75,76,73,8,12,6,3,2,,,
,Juanlu Sánchez RB RM,Sevilla FC 2019 ~ 2029,264174,"186cm 6'1""",70kg 154lbs,Right,79,80,77,69,70,71,73,73,71,15,12,12,3,3,,,
,A. Adams ST,Sevilla FC 2025 ~ 2029,266256,"190cm 6'3""",87kg 192lbs,Right,75,78,73,85,24,65,69,25,24,7,7,8,3,3,,,
,Alfon LW LM CAM,"Villarreal CF Jun 30, 2026 On loan",243034,"172cm 5'8""",60kg 132lbs,Right,78,76,75,63,43,74,74,31,15,12,8,5,3,3,,,
,Arnau Tenas GK,Villarreal CF 2025 ~ 2029,259065,"185cm 6'1""",85kg 187lbs,Right,54,48,26,38,14,65,60,13,15,74,70,74,2,1,,,
,Carlos Espí ST,Levante UD 2024 ~ 2028,70967,"194cm 6'4""",84kg 185lbs,Right,75,79,75,86,31,66,69,34,31,9,9,11,4,3,,,
,Iván Romero ST LM LW CAM,Levante UD 2023 ~ 2028,264173,"172cm 5'8""",72kg 159lbs,Right,84,84,79,62,30,67,73,51,42,10,9,5,3,3,,,
,K. Etta Eyong ST,Levante UD 2025 ~ 2029,271414,"181cm 5'11""",75kg 165lbs,Right,78,81,73,80,41,65,72,44,27,14,12,8,3,3,,,
,M. Satriano ST LW CAM,Getafe CF 2026 ~ 2030,264325,"187cm 6'2""",75kg 165lbs,Right,69,78,75,79,37,65,69,45,31,11,8,13,3,3,,,
,C. Stuani ST,Girona FC 2017 ~ 2028,186537,"186cm 6'1""",76kg 168lbs,Right,57,62,51,86,43,70,78,49,42,16,14,16,3,4,,,
,Portu LW RM LM,Girona FC 2023 ~ 2027,205070,"167cm 5'6""",66kg 146lbs,Right,82,79,75,70,55,74,73,54,51,14,10,15,4,3,,,
,D. van de Beek CAM CM,Girona FC 2024 ~ 2028,221363,"184cm 6'0""",76kg 168lbs,Right,57,61,54,67,71,78,76,72,71,7,12,10,3,3,,,
,Francés CB RB RM,Girona FC 2024 ~ 2029,254310,"181cm 5'11""",70kg 154lbs,Right,77,73,78,76,75,65,67,75,72,14,12,6,4,2,,,
,David Costas CB,Real Oviedo 2021 ~ 2028,219848,"184cm 6'0""",71kg 157lbs,Right,69,75,71,79,76,66,76,74,72,10,15,14,4,3,,,
,F. Viñas ST RM LM RW,Real Oviedo 2024 ~ 2027,253385,"180cm 5'11""",81kg 179lbs,Left,75,79,78,86,45,70,75,50,34,6,8,12,3,3,,,
,L. Bogarde CDM CM RB,Aston Villa 2021 ~ 2028,264209,"183cm 6'0""",70kg 154lbs,Right,65,68,67,70,73,72,69,75,76,9,10,13,4,2,,,
,J. Acheampong CB RB CDM,Chelsea 2024 ~ 2029,71651,"190cm 6'3""",85kg 187lbs,Right,75,76,67,76,75,65,69,74,74,5,15,9,3,2,,,
,M. Röhl CAM CM CDM,"Everton Jun 30, 2026 On loan",259714,"192cm 6'4""",79kg 174lbs,Right,78,83,77,71,68,76,71,66,59,11,14,7,4,3,,,
,T. Dibling RM CAM RB,Everton 2025 ~ 2029,279497,"186cm 6'1""",79kg 174lbs,Left,78,76,67,68,44,74,75,38,26,15,14,13,3,3,,,
,K. Darlow GK,Leeds United 2023 ~ 2028,193331,"190cm 6'3""",88kg 194lbs,Right,60,54,44,63,26,39,53,11,12,75,71,72,2,1,,,
,S. Bornauw CB,Leeds United 2025 ~ 2029,242663,"191cm 6'3""",83kg 183lbs,Right,66,69,53,81,70,51,67,72,73,6,7,11,3,2,,,
,W. Gnonto LW LM RW,Leeds United 2022 ~ 2028,258906,"169cm 5'7""",72kg 159lbs,Right,87,88,69,67,42,64,73,52,35,11,9,10,4,3,,,
,F. Buonanotte CAM RM CM,"Leeds United Jun 30, 2026 On loan",269495,"174cm 5'9""",66kg 146lbs,Left,76,74,65,52,25,75,75,30,25,8,9,14,3,3,,,
,A. Heaven CB,Manchester United 2025 ~ 2029,75087,"189cm 6'2""",84kg 185lbs,Left,69,69,67,77,73,56,74,74,76,6,9,7,3,2,,,
,T. Awoniyi ST,Nottingham Forest 2022 ~ 2027,230978,"183cm 6'0""",84kg 185lbs,Right,65,75,54,88,33,53,63,27,23,10,7,8,2,3,,,
,Ł. Fabiański GK,West Ham United 2018 ~ 2030,164835,"190cm 6'3""",83kg 183lbs,Right,50,47,25,65,16,57,63,12,13,74,73,75,2,1,,,
,M. Doherty CB RB RM,Wolverhampton Wanderers 2023 ~ 2029,201417,"185cm 6'1""",80kg 176lbs,Right,66,66,67,72,73,69,70,74,73,15,8,11,4,3,,,
,Hwang Hee Chan ST LW RW LM,Wolverhampton Wanderers 2022 ~ 2028,226380,"177cm 5'10""",77kg 170lbs,Right,85,76,66,68,37,75,78,36,25,11,7,11,4,3,,,
,J. Tchatchoua RB RM,Wolverhampton Wanderers 2025 ~ 2030,262937,"180cm 5'11""",76kg 168lbs,Right,90,93,88,73,64,54,63,70,69,8,13,12,3,3,,,
,J. King CAM CM,Fulham FC 2024 ~ 2029,70786,"173cm 5'8""",66kg 146lbs,Right,76,74,67,54,64,74,76,66,62,7,9,12,4,3,,,
,T. Cairney CM CDM CAM,Fulham FC 2015 ~ 2027,195202,"185cm 6'1""",84kg 185lbs,Left,47,49,53,68,67,76,78,69,55,14,12,6,2,3,,,
,B. Lecomte GK,Fulham FC 2025 ~ 2027,200726,"186cm 6'1""",78kg 172lbs,Left,41,40,34,68,24,44,61,11,12,73,72,73,3,1,,,
,J. Ward-Prowse CM CDM CAM,"Burnley Jun 30, 2026 On loan",205569,"177cm 5'10""",66kg 146lbs,Right,46,39,66,48,65,76,77,71,63,12,12,15,3,3,,,
,C. Roberts RB CM,Burnley 2021 ~ 2027,225147,"175cm 5'9""",76kg 168lbs,Right,77,75,75,71,69,69,74,72,70,6,12,12,4,3,,,
,Z. Amdouni ST CAM,Burnley 2023 ~ 2028,262642,"185cm 6'1""",79kg 174lbs,Right,70,72,67,69,47,76,72,42,45,6,9,14,4,3,,,
,B. Humphreys CB LB RB,Burnley 2025 ~ 2029,272777,"187cm 6'2""",79kg 174lbs,Left,75,71,74,76,73,61,69,74,73,13,7,13,5,2,,,
,Lucas Pires LB LM,Burnley 2024 ~ 2028,277068,"182cm 6'0""",77kg 170lbs,Left,81,78,76,73,70,67,68,72,70,6,11,9,3,3,,,
,J. Canvot CB CDM CM,Crystal Palace 2025 ~ 2029,74133,"188cm 6'2""",75kg 165lbs,Right,68,83,69,83,73,68,65,74,73,7,7,15,3,2,,,
,S. March RM RB,Brighton & Hove Albion 2012 ~ 2029,206594,"180cm 5'11""",77kg 170lbs,Left,68,67,44,56,69,76,79,66,64,9,11,13,2,3,,,
,Fábio Carvalho CAM CM,Brentford 2024 ~ 2029,256725,"170cm 5'7""",62kg 137lbs,Right,77,74,62,39,39,71,73,54,32,14,5,10,4,4,,,
,C. Mandas GK,"AFC Bournemouth Jun 30, 2026 On loan",278032,"189cm 6'2""",73kg 161lbs,Right,22,25,23,45,14,40,31,12,14,76,71,70,3,1,,,
,G. Mensah LB LM,AJ Auxerre 2022 ~ 2028,247124,"178cm 5'10""",64kg 141lbs,Left,77,76,79,57,69,54,63,70,74,8,14,11,2,3,,,
,C. Akpa CB,AJ Auxerre 2022 ~ 2028,277503,"183cm 6'0""",68kg 150lbs,Left,71,69,67,74,75,57,72,76,75,6,14,6,2,2,,,
,F. Sotoca ST RW CAM,RC Lens 2019 ~ 2027,227232,"187cm 6'2""",77kg 170lbs,Right,60,68,75,76,49,77,76,46,44,13,15,11,3,3,,,
,N. Mukau CDM CM RM,Lille OSC 2024 ~ 2028,274447,"186cm 6'1""",79kg 174lbs,Left,68,71,75,73,71,73,75,72,69,9,8,13,2,2,,,
,H. Hateboer CB RB RM,"Olympique Lyonnais Jun 30, 2026 On loan",220093,"187cm 6'2""",72kg 159lbs,Right,69,70,68,75,70,65,67,76,73,11,6,14,3,3,,,
,R. Kluivert CB,Olympique Lyonnais 2025 ~ 2030,262102,"187cm 6'2""",82kg 181lbs,Right,83,92,72,82,72,52,70,76,75,13,11,7,3,2,,,
,W. Faes CB,"AS Monaco Jun 30, 2026 On loan",235036,"187cm 6'2""",82kg 181lbs,Right,50,55,71,77,74,42,66,75,75,12,10,7,3,2,,,
,K. Diatta RM RB,AS Monaco 2021 ~ 2028,238227,"175cm 5'9""",69kg 152lbs,Right,90,86,83,61,60,69,70,64,58,10,8,11,4,4,,,
,R. Cabella LM CAM RM LW,"FC Nantes Jun 30, 2026 On loan",193476,"171cm 5'7""",67kg 148lbs,Right,63,56,59,45,55,77,71,33,31,12,16,13,4,4,,,
