Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Value,Wage,Acceleration,Sprint speed,Stamina,Strength,Interceptions,Vision,Composure,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Positioning,Weak foot,Skill moves,Attacking work rate,Defensive work rate,Unnamed: 28
,Z. Suzuki GK,22,74,80,Parma 2024 ~ 2029,255981,"190cm 6'3""",91kg 201lbs,Right,€5.5M,€9K,55,58,23,78,7,46,39,16,13,73,72,74,3,1,,,
,A. Ndiaye CB,23,74,78,Parma 2025 ~ 2029,259150,"185cm 6'1""",75kg 165lbs,Left,€5.5M,€15K,60,72,63,80,72,54,66,75,72,12,9,10,2,2,,,
,P. Gollini GK,30,74,74,Roma 2025 ~ 2027,211515,"194cm 6'4""",94kg 207lbs,Right,€2.8M,€26K,46,48,40,68,18,40,63,12,19,74,72,74,2,1,,,
,D. Rensch RB CB RM CM,22,74,79,Roma 2025 ~ 2029,258826,"179cm 5'10""",73kg 161lbs,Right,€6M,€33K,75,74,70,61,72,66,69,74,72,10,8,13,4,3,,,
,E. Ferguson ST,20,74,82,"Roma Jun 30, 2026 On loan",259608,"188cm 6'2""",78kg 172lbs,Right,€9.5M,€51K,67,69,66,78,13,63,72,13,13,9,8,12,3,3,,,
,A. Tameze CDM CM CB,31,74,74,Torino 2023 ~ 2030,213242,"182cm 6'0""",78kg 172lbs,Right,€3M,€31K,76,75,67,69,75,68,78,77,75,13,16,15,3,3,,,
,Z. Aboukhlal CAM RM LM CM,25,74,77,Torino 2025 ~ 2029,248564,"179cm 5'10""",74kg 163lbs,Left,€5.5M,€30K,84,81,87,72,20,73,68,44,34,10,6,5,5,4,,,
,A. Ismajli CB,28,74,74,Torino 2025 ~ 2027,258782,"185cm 6'1""",76kg 168lbs,Right,€3.6M,€31K,66,68,72,66,77,38,67,78,74,9,14,12,3,2,,,
,K. Davis ST CAM,27,74,74,Udinese 2023 ~ 2027,231743,"189cm 6'2""",68kg 150lbs,Left,€4.6M,€18K,66,69,60,81,40,58,73,38,23,7,14,9,3,3,,,
,J. Ekkelenkamp CM LM CAM,25,74,77,Udinese 2024 ~ 2029,243249,"188cm 6'2""",83kg 183lbs,Right,€5.5M,€16K,69,73,76,75,66,76,74,66,64,13,6,14,3,3,,,
,M. Okoye GK,25,74,78,Udinese 2023 ~ 2028,257288,"197cm 6'6""",94kg 207lbs,Right,€4.6M,€9K,23,26,34,75,18,45,37,16,16,73,72,74,3,1,,,
,A. Atta CM CAM,22,74,82,Udinese 2025 ~ 2029,272783,"189cm 6'2""",77kg 170lbs,Right,€9.5M,€14K,70,74,74,72,66,75,76,68,62,8,13,14,3,3,,,
,N. Casale CB,27,74,76,Bologna 2025 ~ 2028,239770,"192cm 6'4""",88kg 194lbs,Right,€4.5M,€35K,70,75,67,77,75,63,74,75,72,14,8,13,3,2,,,
,S. Sohm CM CDM CAM,24,74,79,"Bologna Jun 30, 2026 On loan",244634,"188cm 6'2""",85kg 187lbs,Right,€6.5M,€32K,77,74,83,80,71,74,67,70,68,11,10,13,3,3,,,
,T. Heggem CB LB,26,74,76,Bologna 2025 ~ 2027,248342,"192cm 6'4""",90kg 198lbs,Left,€4.6M,€35K,70,75,79,82,72,61,68,75,73,13,6,9,5,2,,,
,T. Pobega CM CDM,25,74,76,Bologna 2026 ~ 2028,252060,"189cm 6'2""",87kg 192lbs,Right,€5.5M,€35K,73,74,75,72,76,68,71,78,74,6,10,13,4,3,,,
,M. Vitík CB,22,74,80,Bologna 2025 ~ 2029,259748,"193cm 6'4""",84kg 185lbs,Right,€6M,€31K,71,75,63,81,73,66,67,75,74,15,12,8,3,2,,,
,V. Nelsson CB,26,74,76,"Hellas Verona FC Jun 30, 2026 On loan",235658,"185cm 6'1""",78kg 172lbs,Right,€4.6M,€37K,60,62,68,79,76,59,73,78,76,10,6,7,2,2,,,
,G. Orban ST,22,74,81,"Hellas Verona FC Jun 30, 2026 On loan",273564,"178cm 5'10""",82kg 181lbs,Right,€8.5M,€27K,78,74,60,67,17,63,80,17,10,10,6,12,3,3,,,
,L. Coulibaly CDM CM,29,74,74,Lecce 2024 ~ 2027,230107,"183cm 6'0""",77kg 170lbs,Right,€3.6M,€12K,67,71,80,69,72,67,72,73,72,9,12,8,3,3,,,
,R. Sottil LM LW,26,74,75,"Lecce Jun 30, 2026 On loan",246431,"180cm 5'11""",70kg 154lbs,Right,€5M,€37K,90,87,53,45,30,72,68,35,39,12,13,5,3,4,,,
,Jacobo Ramón CB,20,74,84,Como 2025 ~ 2030,70966,"196cm 6'5""",80kg 176lbs,Right,€8.5M,€43K,57,60,64,79,75,48,65,76,72,10,10,13,3,2,,,
,Álex Valle LB LM,21,74,84,Como 2025 ~ 2029,273875,"178cm 5'10""",72kg 159lbs,Left,€9M,€43K,83,82,75,66,70,69,66,70,70,6,14,12,3,3,,,
,A. Belotti ST,31,74,74,Cagliari 2025 ~ 2029,208596,"181cm 5'11""",72kg 159lbs,Right,€3.6M,€13K,66,67,68,78,31,59,74,27,32,13,7,14,4,2,,,
,M. Folorunsho CM CAM ST,27,74,74,"Cagliari Jun 30, 2026 On loan",268683,"190cm 6'3""",92kg 203lbs,Right,€4.5M,€63K,68,76,79,79,71,71,70,72,69,14,12,12,4,3,,,
,S. Kılıçsoy ST LW LM CAM,19,74,81,"Cagliari Jun 30, 2026 On loan",274616,"178cm 5'10""",68kg 150lbs,Right,€8.5M,€24K,75,71,69,75,26,65,69,29,26,12,6,8,4,4,,,
,Aarón Martín LB LM,28,74,74,Genoa 2023 ~ 2028,236295,"178cm 5'10""",70kg 154lbs,Left,€3.8M,€21K,69,50,82,57,72,68,74,72,70,11,14,12,3,3,,,
,B. Norton-Cuffy RB RM,21,74,80,Genoa 2024 ~ 2029,260653,"181cm 5'11""",70kg 154lbs,Right,€6.5M,€14K,80,84,76,69,69,57,68,70,70,7,12,11,3,3,,,
,T. Baldanzi CAM CM,22,74,80,"Genoa Jun 30, 2026 On loan",269312,"170cm 5'7""",63kg 139lbs,Left,€7M,€35K,78,75,65,41,33,78,69,41,48,12,9,12,3,3,,,
,M. Aebischer CM CDM,28,74,74,"Pisa Jun 30, 2026 On loan",236898,"183cm 6'0""",78kg 172lbs,Right,€4.2M,€39K,73,61,72,69,76,73,72,77,74,10,9,9,4,3,,,
,M. Tramoni CAM ST CM,25,74,77,Pisa 2022 ~ 2028,240797,"175cm 5'9""",72kg 159lbs,Right,€5.5M,€10K,90,88,80,59,50,72,74,58,54,11,11,10,3,3,,,
,U. Garcia LB CB LM,29,74,74,"Sassuolo Jun 30, 2026 On loan",223143,"182cm 6'0""",73kg 161lbs,Left,€3.7M,€31K,78,79,79,76,70,61,68,70,73,8,13,12,2,3,,,
,A. Murić GK,26,74,76,"Sassuolo Jun 30, 2026 On loan",233164,"197cm 6'6""",80kg 176lbs,Right,€4M,€28K,44,46,29,71,18,60,66,17,18,74,71,73,2,1,,,
,T. Muharemović CB,22,74,80,Sassuolo 2024 ~ 2030,262027,"187cm 6'2""",76kg 168lbs,Left,€6M,€15K,55,67,67,76,75,52,60,76,74,11,10,6,3,2,,,
,R. Bardghji RW RM,19,74,85,FC Barcelona 2025 ~ 2029,265600,"173cm 5'8""",73kg 161lbs,Left,€9M,€46K,75,76,62,55,23,74,69,31,24,8,14,14,4,4,,,
,Gonzalo ST,21,74,84,Real Madrid 2023 ~ 2030,278399,"182cm 6'0""",81kg 179lbs,Right,€9.5M,€86K,74,73,71,74,44,67,66,40,50,6,13,7,4,3,,,
,Junior Firpo LB LM,28,74,74,Real Betis Balompié 2025 ~ 2028,241184,"184cm 6'0""",78kg 172lbs,Left,€3.8M,€23K,80,75,73,73,71,75,73,74,71,7,7,14,3,3,,,
,Javi Rueda RB RM,23,74,81,RC Celta 2023 ~ 2029,72426,"177cm 5'10""",74kg 163lbs,Right,€8M,€19K,86,88,72,62,70,72,68,67,73,5,13,10,2,2,,,
,Hugo Sotelo CM CDM,21,74,81,RC Celta 2021 ~ 2028,264095,"180cm 5'11""",75kg 165lbs,Right,€8.5M,€17K,74,65,72,65,69,78,75,71,63,14,9,9,3,3,,,
,Pablo Durán ST LW CAM,24,74,78,RC Celta 2022 ~ 2027,272453,"176cm 5'9""",72kg 159lbs,Right,€6M,€22K,71,72,72,67,33,65,73,28,26,7,9,9,3,3,,,
,Miguel Román CM CDM,22,74,80,RC Celta 2025 ~ 2028,277029,"178cm 5'10""",70kg 154lbs,Right,€6.5M,€20K,62,64,73,58,73,79,72,74,69,12,7,12,3,3,,,
,Kike García ST,35,74,74,RCD Espanyol 2025 ~ 2027,192678,"186cm 6'1""",79kg 174lbs,Right,€1.8M,€17K,43,50,55,80,40,72,76,40,21,7,9,13,4,3,,,
,T. Dolan RW RM LM,23,74,79,RCD Espanyol 2025 ~ 2028,257063,"168cm 5'6""",63kg 139lbs,Right,€6.5M,€18K,85,78,76,52,50,74,74,62,48,5,9,6,3,4,,,
,Terrats RM LM CM RW,24,74,77,"RCD Espanyol Jun 30, 2026 On loan",259521,"181cm 5'11""",71kg 157lbs,Left,€6M,€26K,65,63,69,68,72,76,74,72,68,8,9,14,3,3,,,
,Roberto Fernández ST,22,74,80,RCD Espanyol 2025 ~ 2031,263676,"186cm 6'1""",78kg 172lbs,Right,€7M,€19K,75,82,82,75,55,69,70,56,35,12,13,13,3,3,,,
,T. Asano RW RM ST,30,74,74,RCD Mallorca 2024 ~ 2028,232610,"173cm 5'8""",71kg 157lbs,Right,€4.1M,€29K,86,81,75,73,31,67,73,32,30,15,7,9,4,3,,,
,Pablo Torre CAM CM LM,22,74,82,RCD Mallorca 2025 ~ 2029,267976,"173cm 5'8""",63kg 139lbs,Right,€9.5M,€23K,76,68,71,48,45,76,70,48,46,15,10,10,4,4,,,
,D. Ćaleta-Car CB,28,74,74,"Real Sociedad Jun 30, 2026 On loan",225263,"193cm 6'4""",89kg 196lbs,Right,€3.6M,€18K,54,62,60,84,73,60,72,74,71,8,9,10,4,2,,,
,Aritz Elustondo CB RB,31,74,74,Real Sociedad 2014 ~ 2030,226221,"180cm 5'11""",71kg 157lbs,Right,€2.9M,€30K,55,67,68,75,73,32,75,73,73,7,10,15,3,2,,,
,Aihen Muñoz LB LM,27,74,74,Real Sociedad 2017 ~ 2027,246748,"175cm 5'9""",68kg 150lbs,Left,€4.1M,€29K,76,75,74,62,71,66,74,73,70,10,9,15,3,3,,,
,O. Óskarsson ST,20,74,80,Real Sociedad 2024 ~ 2030,269186,"186cm 6'1""",76kg 168lbs,Right,€6.5M,€25K,73,74,72,76,26,65,66,25,25,14,14,15,3,2,,,
,Dani Raba RW ST CAM RM,29,74,74,Valencia CF 2025 ~ 2027,241463,"184cm 6'0""",76kg 168lbs,Left,€4.1M,€33K,74,68,56,71,47,75,73,42,38,12,11,12,3,4,,,
,André Almeida CAM LM ST CM,25,74,77,Valencia CF 2022 ~ 2029,247729,"176cm 5'9""",62kg 137lbs,Right,€5.5M,€29K,72,68,67,59,76,77,78,69,65,6,9,8,3,3,,,
,Thierry Correia RB LB RM,26,74,74,Valencia CF 2019 ~ 2028,247832,"176cm 5'9""",69kg 152lbs,Right,€4.2M,€29K,88,90,72,68,70,69,70,72,70,10,15,6,4,3,,,
,Copete CB,25,74,78,Valencia CF 2025 ~ 2029,263396,"192cm 6'4""",73kg 161lbs,Left,€5.5M,€27K,58,55,65,73,76,50,62,76,74,11,13,13,2,2,,,
,Denis Suárez CM LM CDM,31,74,74,Deportivo Alavés 2025 ~ 2027,205192,"176cm 5'9""",69kg 152lbs,Right,€3.5M,€25K,60,67,59,58,66,77,74,66,49,10,14,7,3,3,,,
,Aleñá LM CM RM LB,27,74,74,Deportivo Alavés 2025 ~ 2029,233113,"180cm 5'11""",73kg 161lbs,Left,€4.5M,€24K,66,67,68,61,67,75,77,59,54,12,9,8,2,4,,,
,Ander Guevara CDM CM,27,74,75,Deportivo Alavés 2023 ~ 2027,240458,"180cm 5'11""",73kg 161lbs,Right,€4.3M,€23K,50,35,77,68,73,73,76,75,71,14,12,14,3,3,,,
,Pacheco CB LB,24,74,81,"Deportivo Alavés Jun 30, 2026 On loan",255854,"184cm 6'0""",77kg 170lbs,Left,€8M,€25K,47,49,65,73,74,42,60,76,74,14,13,14,3,2,,,
,Adrià Pedrosa LB LM LW,27,74,74,"Elche CF Jun 30, 2026 On loan",246113,"176cm 5'9""",69kg 152lbs,Left,€4.1M,€25K,88,86,86,62,67,65,70,68,67,14,14,10,3,3,,,
,Raúl García ST,24,74,79,CA Osasuna 2023 ~ 2028,253416,"192cm 6'4""",70kg 154lbs,Right,€6.5M,€26K,67,71,63,74,15,68,70,31,28,12,15,6,3,3,,,
,Fran Pérez RM LM RB,22,74,79,Rayo Vallecano 2025 ~ 2029,271373,"175cm 5'9""",68kg 150lbs,Right,€6.5M,€18K,79,78,66,55,48,70,67,41,31,9,13,9,3,4,,,
,Alemão ST,27,74,74,Rayo Vallecano 2025 ~ 2030,276895,"182cm 6'0""",85kg 187lbs,Right,€4.6M,€22K,70,76,77,87,25,70,72,30,18,12,14,12,5,3,,,
,Isaac Romero ST,25,74,77,Sevilla FC 2024 ~ 2028,69967,"184cm 6'0""",70kg 154lbs,Left,€5.5M,€27K,81,84,76,74,22,65,66,12,10,5,12,8,3,3,,,
,Ø. Nyland GK,34,74,74,Sevilla FC 2023 ~ 2028,185427,"192cm 6'4""",78kg 172lbs,Right,€725K,€17K,45,45,33,70,21,40,39,11,12,73,73,73,4,1,,,
,N. Maupay ST,28,74,74,"Sevilla FC Jun 30, 2026 On loan",211784,"174cm 5'9""",65kg 143lbs,Right,€4.3M,€35K,72,67,65,68,26,69,74,55,33,11,12,8,3,3,,,
,Fábio Cardoso CB,31,74,74,Sevilla FC 2025 ~ 2028,213917,"187cm 6'2""",82kg 181lbs,Right,€2.9M,€26K,62,53,76,82,75,41,68,73,71,7,14,15,2,2,,,
,Joan Jordán CM CDM,30,74,74,Sevilla FC 2019 ~ 2027,224309,"185cm 6'1""",74kg 163lbs,Right,€4M,€27K,50,52,75,74,73,75,73,74,59,13,12,12,4,3,,,
,G. Suazo LB LM,27,74,74,Sevilla FC 2025 ~ 2028,229649,"178cm 5'10""",72kg 159lbs,Left,€4.1M,€25K,76,73,80,73,72,72,73,73,73,14,7,12,2,3,,,
,Marcão CB,29,74,74,Sevilla FC 2022 ~ 2027,234426,"185cm 6'1""",80kg 176lbs,Left,€3.5M,€26K,56,61,67,81,70,54,70,73,72,8,8,10,3,2,,,
,Peque CAM LM ST CM,22,74,81,Sevilla FC 2024 ~ 2028,270301,"172cm 5'8""",66kg 146lbs,Right,€8.5M,€23K,79,76,72,45,27,73,73,48,40,13,8,12,4,3,,,
,Pau Navarro CB RB,20,74,83,Villarreal CF 2024 ~ 2030,278659,"185cm 6'1""",72kg 159lbs,Right,€8.5M,€21K,59,65,67,63,77,63,61,79,75,9,9,10,3,2,,,
,J. Toljan RB CM,30,74,74,Levante UD 2025 ~ 2027,214622,"182cm 6'0""",74kg 163lbs,Right,€3.6M,€24K,84,83,78,70,70,66,65,73,70,10,13,11,5,3,,,
,Dela CB RB,26,74,77,Levante UD 2023 ~ 2028,245290,"179cm 5'10""",77kg 170lbs,Right,€4.9M,€23K,69,75,76,76,74,66,66,75,73,15,6,10,3,2,,,
,Olasagasti CM CDM LM,24,74,77,Levante UD 2025 ~ 2028,262500,"176cm 5'9""",74kg 163lbs,Left,€5.5M,€21K,63,60,83,68,72,74,71,75,69,14,13,8,3,2,,,
,K. Arriaga CDM CM,27,74,75,Levante UD 2025 ~ 2027,267873,"191cm 6'3""",82kg 181lbs,Right,€4.3M,€23K,63,69,83,84,75,63,65,75,69,12,15,10,2,2,,,
,Kiko Femenía RB RM,34,74,74,Getafe CF 2025 ~ 2027,189860,"174cm 5'9""",61kg 134lbs,Right,€1.5M,€27K,68,68,72,61,74,67,63,76,74,16,15,15,3,3,,,
,Javi Muñoz CM CAM RM,30,74,74,Getafe CF 2025 ~ 2028,226157,"175cm 5'9""",69kg 152lbs,Right,€4M,€28K,71,72,84,74,76,76,69,74,71,6,10,7,4,3,,,
,Domingos Duarte CB,30,74,74,Getafe CF 2022 ~ 2028,234835,"190cm 6'3""",80kg 176lbs,Right,€3.5M,€27K,50,52,69,78,77,44,64,75,73,9,9,14,3,2,,,
,A. Abqar CB,26,74,77,Getafe CF 2025 ~ 2028,245628,"188cm 6'2""",80kg 176lbs,Right,€4.9M,€26K,52,56,65,79,74,43,58,74,73,9,10,12,3,2,,,
,Mario Martín CM CDM CAM,21,74,82,Getafe CF 2021 ~ 2027,274555,"178cm 5'10""",74kg 163lbs,Right,€9.5M,€20K,64,69,81,70,71,74,69,75,74,11,11,9,3,3,,,
,Hugo Rincón RB RM,22,74,82,"Girona FC Jun 30, 2026 On loan",279026,"183cm 6'0""",75kg 165lbs,Right,€9M,€27K,82,84,82,73,70,66,66,71,68,14,11,10,2,2,,,
,David Carmo CB,25,74,78,"Real Oviedo Jun 30, 2026 On loan",251616,"196cm 6'5""",84kg 185lbs,Left,€5.5M,€57K,53,63,73,82,76,61,70,75,72,10,7,14,2,2,,,
,T. Fernández LW LM,21,74,81,"Real Oviedo Jun 30, 2026 On loan",275205,"175cm 5'9""",68kg 150lbs,Right,€8.5M,€24K,87,81,68,49,48,70,70,56,54,13,6,8,2,3,,,
,Alberto Reina CM CDM CAM,27,74,74,Real Oviedo 2025 ~ 2027,275985,"179cm 5'10""",71kg 157lbs,Right,€4.5M,€27K,64,74,81,66,69,75,72,68,64,13,8,15,3,3,,,
,Andrés García RB RM,22,73,81,Aston Villa 2025 ~ 2029,275468,"183cm 6'0""",82kg 181lbs,Right,€6.5M,€54K,77,77,74,63,72,67,69,71,67,11,12,11,4,3,,,
,H. Armstrong CM CDM CAM,18,73,85,Everton 2024 ~ 2027,74413,"185cm 6'1""",70kg 154lbs,Right,€7M,€20K,66,71,77,69,69,73,75,70,72,8,7,12,3,2,,,
,Stefan Bajcetic CDM CM CB,20,73,82,Liverpool 2021 ~ 2027,271975,"185cm 6'1""",77kg 170lbs,Right,€6.5M,€42K,67,79,68,68,74,70,73,73,73,6,12,13,3,3,,,
,W. Osula ST,21,73,81,Newcastle United 2024 ~ 2028,270519,"192cm 6'4""",81kg 179lbs,Right,€7M,€57K,86,89,59,76,18,57,67,16,18,13,6,9,4,3,,,
,W. Boly CB,34,73,73,Nottingham Forest 2022 ~ 2029,202750,"195cm 6'5""",97kg 214lbs,Right,€1M,€56K,34,34,34,88,72,61,79,74,73,7,8,10,4,2,,,
,L. Netz LB LM,22,73,77,Nottingham Forest 2026 ~ 2030,256781,"184cm 6'0""",83kg 183lbs,Left,€4.1M,€47K,76,70,68,65,67,62,67,72,70,7,11,9,3,2,,,
,J. McAtee RM CAM RW,22,73,81,Nottingham Forest 2025 ~ 2030,264349,"180cm 5'11""",72kg 159lbs,Left,€7M,€49K,72,72,65,62,33,71,72,42,43,12,6,10,3,3,,,
,Pablo ST,21,73,81,West Ham United 2026 ~ 2030,264290,"184cm 6'0""",74kg 163lbs,Right,€7M,€37K,75,73,73,70,34,67,72,31,25,14,10,7,3,3,,,
,F. Potts CDM CM,21,73,80,West Ham United 2021 ~ 2029,264579,"183cm 6'0""",79kg 174lbs,Right,€6M,€31K,67,65,78,67,71,71,70,72,72,10,12,14,3,2,,,
,S. Magassa CDM CM CB,21,73,80,West Ham United 2025 ~ 2031,275102,"190cm 6'3""",75kg 165lbs,Right,€6M,€31K,51,57,68,77,72,67,69,74,72,7,10,15,3,2,,,
,A. Armstrong ST CAM,28,73,73,Wolverhampton Wanderers 2026 ~ 2029,221841,"173cm 5'8""",69kg 152lbs,Right,€3.1M,€51K,84,70,68,63,41,67,66,23,25,10,13,12,4,3,,,
,Rodrigo Gomes LW LM RM,21,73,82,Wolverhampton Wanderers 2024 ~ 2029,259170,"175cm 5'9""",67kg 148lbs,Right,€7M,€36K,80,80,67,42,63,68,72,59,52,10,13,14,3,3,,,
,D. Wolfe LB LM,23,73,78,Wolverhampton Wanderers 2025 ~ 2030,262135,"185cm 6'1""",78kg 172lbs,Left,€4.3M,€37K,77,79,78,76,68,63,66,68,71,8,9,10,2,2,,,
,J. Laurent CDM CM CB,30,73,73,Burnley 2024 ~ 2030,217826,"188cm 6'2""",76kg 168lbs,Right,€2.5M,€41K,76,80,90,87,70,63,70,72,70,14,8,14,3,3,,,
,J. Bruun Larsen LM RM LW,26,73,73,Burnley 2025 ~ 2029,227503,"183cm 6'0""",77kg 170lbs,Right,€3.3M,€41K,83,74,64,68,59,68,66,54,44,14,6,11,5,3,,,
,J. Worrall CB,28,73,73,Burnley 2024 ~ 2028,230708,"190cm 6'3""",90kg 198lbs,Right,€2.6M,€41K,42,44,65,83,73,30,63,74,75,11,11,9,2,2,,,
,A. Tuanzebe CB RB,27,73,73,Burnley 2025 ~ 2027,231485,"185cm 6'1""",75kg 165lbs,Right,€2.8M,€39K,74,77,68,76,73,63,73,72,71,5,8,13,3,3,,,
,L. Foster ST LM LW,24,73,75,Burnley 2023 ~ 2028,241173,"185cm 6'1""",70kg 154lbs,Right,€4M,€39K,79,82,71,77,24,63,68,33,31,5,6,9,3,3,,,
,J. Beyer CB,25,73,75,Burnley 2023 ~ 2027,242660,"187cm 6'2""",80kg 176lbs,Right,€3.4M,€37K,69,75,44,77,73,55,73,73,72,7,7,11,3,2,,,
,M. Trésor LM LW,26,73,73,Burnley 2023 ~ 2028,253150,"172cm 5'8""",66kg 146lbs,Right,€3.3M,€41K,80,81,51,52,45,72,72,35,32,14,9,11,3,4,,,
,C. Kostoulas ST CAM RM,18,73,85,Brighton & Hove Albion 2025 ~ 2030,73885,"185cm 6'1""",75kg 165lbs,Right,€7M,€42K,84,87,69,79,34,63,71,41,34,10,13,7,3,3,,,
,J. Steele GK,34,73,73,Brighton & Hove Albion 2018 ~ 2027,188836,"188cm 6'2""",79kg 174lbs,Right,€525K,€37K,41,36,29,55,11,45,70,18,14,74,72,73,2,1,,,
,A. Milambo CM CAM,20,73,85,Brentford 2025 ~ 2030,263640,"179cm 5'10""",68kg 150lbs,Right,€7.5M,€35K,74,74,78,60,60,75,74,65,58,15,5,7,3,4,,,
,A. Smith RB RM,34,73,73,AFC Bournemouth 2014 ~ 2027,190885,"180cm 5'11""",78kg 172lbs,Right,€1.1M,€48K,54,65,64,68,71,68,70,75,73,8,9,9,3,3,,,
,E. Owusu CDM CM,27,73,74,AJ Auxerre 2023 ~ 2027,238392,"182cm 6'0""",72kg 159lbs,Right,€3.1M,€18K,62,50,76,68,73,68,68,75,71,12,10,12,3,2,,,
,D. Namaso LM ST CAM LW,24,73,76,"AJ Auxerre Jun 30, 2026 On loan",239631,"182cm 6'0""",76kg 168lbs,Right,€4.2M,€10K,81,79,72,76,20,71,67,15,19,9,11,9,3,3,,,
,S. Diomandé CB,24,73,77,AJ Auxerre 2024 ~ 2027,257204,"184cm 6'0""",74kg 163lbs,Right,€3.9M,€16K,52,71,68,78,70,59,73,75,72,13,7,10,3,2,,,
,A. Sima LW LM,24,73,77,RC Lens 2025 ~ 2029,259816,"188cm 6'2""",74kg 163lbs,Right,€4.4M,€19K,84,89,71,74,35,68,71,38,40,9,8,7,4,3,,,
,A. Bodart GK,27,73,75,Lille OSC 2025 ~ 2027,237525,"186cm 6'1""",80kg 176lbs,Right,€2.8M,€13K,58,50,20,55,25,54,63,12,18,73,70,73,3,1,,,
,A. Karabec RM RW,21,73,79,"Olympique Lyonnais Jun 30, 2026 On loan",256970,"187cm 6'2""",74kg 163lbs,Left,€4.9M,€14K,68,73,76,64,38,73,74,36,38,14,14,7,3,3,,,
,J. Lepenant CM CAM CDM,22,73,79,FC Nantes 2025 ~ 2029,258619,"176cm 5'9""",69kg 152lbs,Right,€4.9M,€13K,67,65,85,66,72,71,67,73,72,6,13,6,3,3,,,
,A. Bah CB,19,73,81,"OGC Nice Jun 30, 2026 On loan",75148,"195cm 6'5""",82kg 181lbs,Right,€6M,€45K,58,73,66,81,73,48,67,75,68,12,11,14,2,2,,,
,T. Ndombele CM CDM,28,73,73,OGC Nice 2024 ~ 2028,235569,"181cm 5'11""",76kg 168lbs,Right,€3M,€21K,57,56,45,75,64,81,77,71,64,8,10,8,3,4,,,
,Tiago Gouveia RW LW LM RM,24,73,79,"OGC Nice Jun 30, 2026 On loan",268868,"176cm 5'9""",73kg 161lbs,Right,€4.8M,€14K,84,82,64,50,46,74,73,48,41,12,13,8,3,3,,,
,M. Abdelmonem CB,26,73,76,OGC Nice 2024 ~ 2028,269164,"183cm 6'0""",78kg 172lbs,Right,€3.5M,€19K,61,59,56,77,71,57,74,74,72,14,14,14,3,2,,,
,T. Louchet RM CM LM RW,22,73,81,OGC Nice 2023 ~ 2027,278187,"178cm 5'10""",66kg 146lbs,Right,€7M,€18K,73,68,72,52,61,68,64,66,62,13,6,14,4,3,,,
,D. Cissé CM CDM,21,73,83,Stade Rennais FC 2024 ~ 2030,71114,"188cm 6'2""",73kg 161lbs,Right,€7M,€15K,65,64,75,70,69,69,71,73,65,5,14,9,3,3,,,
,G. Kamara CDM CM,29,73,73,Stade Rennais FC 2024 ~ 2028,213654,"178cm 5'10""",75kg 165lbs,Right,€2.6M,€20K,73,75,81,72,73,69,76,69,62,8,14,11,4,3,,,
,A. Nordin RM LM LW RW,27,73,73,"Stade Rennais FC Jun 30, 2026 On loan",236518,"170cm 5'7""",70kg 154lbs,Left,€3.2M,€21K,78,75,66,67,34,70,68,32,38,14,6,10,5,3,,,
,A. Omobamidele CB,23,73,78,RC Strasbourg Alsace 2025 ~ 2029,261647,"188cm 6'2""",74kg 163lbs,Right,€4.2M,€30K,65,72,67,81,73,58,68,75,71,8,10,8,3,2,,,
,L. Høgsberg CB,19,73,82,RC Strasbourg Alsace 2025 ~ 2030,276377,"187cm 6'2""",70kg 154lbs,Right,€6M,€24K,65,68,65,74,74,53,70,76,72,6,12,13,3,2,,,
,A. Anselmino CB,20,73,81,"RC Strasbourg Alsace Jun 30, 2026 On loan",278455,"186cm 6'1""",83kg 183lbs,Right,€6M,€48K,67,67,62,70,74,60,67,75,75,10,7,5,4,3,,,
,S. El Mourabet CM CDM,19,73,82,RC Strasbourg Alsace 2023 ~ 2030,279702,"186cm 6'1""",75kg 165lbs,Left,€6.5M,€25K,58,62,78,64,75,73,72,73,68,12,14,13,2,3,,,
,T. Le Bris RM LM RB,22,73,80,FC Lorient 2019 ~ 2027,265544,"170cm 5'7""",65kg 143lbs,Right,€6M,€14K,78,75,76,39,64,71,74,67,65,8,11,8,3,3,,,
,P. Pagis CAM LM CM,22,73,81,FC Lorient 2022 ~ 2027,266099,"180cm 5'11""",70kg 154lbs,Right,€7M,€14K,71,66,81,60,15,68,75,33,21,9,8,6,3,3,,,
,B. Nadir CM CAM CDM,21,73,77,Olympique de Marseille 2021 ~ 2029,263602,"179cm 5'10""",65kg 143lbs,Left,€4.4M,€21K,59,53,69,63,65,76,71,67,53,8,12,7,3,3,,,
,Mama Baldé LW ST LM,29,73,73,Stade Brestois 29 2024 ~ 2027,237960,"176cm 5'9""",69kg 152lbs,Right,€3M,€21K,85,90,75,75,47,65,66,52,48,6,12,13,3,3,,,
,R. Labeau Lascary LM ST RM LW,22,73,80,"Stade Brestois 29 Jun 30, 2026 On loan",274692,"184cm 6'0""",72kg 159lbs,Right,€6M,€18K,75,77,69,62,20,69,71,23,23,13,11,5,3,3,,,
,O. Camara CB,22,73,78,Angers SCO 2022 ~ 2029,258439,"197cm 6'6""",90kg 198lbs,Right,€4.2M,€10K,44,58,59,88,72,59,64,76,68,6,13,7,3,2,,,
